Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1944.04216016,9
FDW14,1222.64788037,2
NCN55,2191.22506578,0
FDQ58,2252.34470073,2
FDY38,5062.22297791,5
FDH56,1925.85139305,8
FDL48,1351.40880612,3
FDC48,2800.84585072,5
FDN33,1195.62654429,7
FDA36,2783.65600891,2
FDT44,1540.34802267,2
FDQ56,1021.53254053,7
NCC54,2635.5073653,4
FDU11,2058.54422994,9
DRL59,613.365154443,1
FDM24,2588.54272939,9
FDI57,2854.57537825,7
DRC12,3606.13477517,3
NCM42,3204.54416104,5
FDA46,1293.9128188,0
FDA31,2355.97450649,1
NCJ31,3279.96287033,6
FDG52,789.137147093,8
NCL19,1338.83813559,4
FDS10,2606.84972117,6
FDX22,1853.58834655,0
NCF19,530.898001392,6
NCE06,2505.95210759,8
DRC27,3908.49265555,8
FDE21,1641.07914815,6
NCR42,-436.886330264,4
FDX51,3699.60625388,3
NCR06,1284.49410886,3
FDU31,4957.4911689,5
FDU59,2281.11662654,2
FDR03,4777.41101611,5
FDS49,2683.07033955,5
FDD48,311.080945187,0
NCF18,2695.99562905,2
NCD43,3124.47653531,5
NCD54,2815.21414104,3
FDY19,306.47778501,0
NCY54,2274.02564689,2
NCL19,2861.16142523,3
FDP23,1905.43801423,0
FDC26,1352.5563096,1
FDR14,-994.247431654,0
NCS41,2616.23257726,6
FDF41,3517.124548,6
FDU34,1961.40606114,8
DRH11,958.104139134,8
FDM03,1260.85759817,1
FDS31,2666.78584628,2
FDJ20,1655.22847944,2
FDV44,4482.58155475,5
FDG02,3222.50653272,9
FDA09,2380.3239562,1
FDT04,226.256435082,1
FDL58,3122.74389402,4
FDE52,1270.33505318,7
FDW12,2123.93581741,6
FDL51,3187.87319866,2
NCY42,3718.92275501,5
FDR07,1242.75619043,2
FDN40,2103.4121013,7
FDB35,2894.83185219,5
FDA22,2304.20186623,2
NCL06,4107.66462238,8
FDI35,2547.77462905,1
NCW42,3197.22525558,7
NCX06,3052.31972164,9
FDC37,3191.59701731,5
FDZ14,2536.820363,3
DRG49,4031.98874416,9
NCG06,3785.29455342,7
DRC36,2568.98320473,7
FDV21,635.133620253,4
FDB53,2241.2406941,8
DRP47,2752.34646483,4
FDA14,1960.53739698,1
DRC24,2223.78617698,6
FDW21,2255.22838455,3
NCH29,1602.97109473,8
FDU58,2742.46850119,1
FDY27,2590.5660739,2
FDV56,1586.68657252,6
FDT59,3724.33273395,8
FDB23,3689.73767956,8
FDR49,359.307075275,7
FDB03,2004.01866739,0
FDN39,2363.99768203,7
FDX02,4937.43077805,5
FDQ16,3160.98453807,5
FDU35,2082.33910767,3
NCT29,1588.46775524,1
FDZ27,879.672957318,8
FDN57,1953.07579528,2
FDA03,2894.68044128,3
FDZ36,2709.56298466,7
NCU05,959.274553859,1
FDT39,3039.24906973,3
FDK60,1285.3541607,2
FDZ25,2513.17229663,2
FDG12,2107.40790595,8
DRB01,1966.21794157,4
NCC43,5294.79211131,5
FDX13,2931.34996985,4
FDM22,1089.86378231,9
FDJ03,2250.81063797,5
FDU14,4480.18593443,3
FDB33,1041.21981244,0
FDP27,2925.10561197,8
FDO38,-395.77519161,0
FDE28,5008.34979285,5
FDO27,1107.01122516,6
DRL23,3228.38628041,5
FDS28,944.723722349,8
FDX24,1234.98956419,1
FDZ02,1359.89876838,6
FDL46,1577.77176858,7
FDS60,4288.08799627,5
NCO06,185.306725623,2
FDO16,1163.0054961,6
FDC60,1530.09276363,9
FDA48,3902.70334546,3
FDZ36,4397.21525831,5
FDK27,1720.30037211,7
FDW23,1134.59818002,3
FDM14,2348.1934153,3
FDM14,1472.31688877,1
FDW60,3458.08841775,3
FDE21,1581.20676862,1
NCM42,1509.52652653,6
FDY59,-3.48861150043,0
DRI49,1284.16098989,9
FDT28,1362.9704518,4
FDQ22,1206.02809143,3
FDR60,1278.27227286,9
FDC50,274.732001061,4
FDV24,2014.85197395,1
DRF48,1488.60374662,0
FDQ47,509.522807378,8
DRN36,1750.92139684,9
NCY06,1748.80962763,6
FDE52,1264.59838708,6
NCB54,1743.32737234,7
NCF31,2142.37421375,6
FDJ08,4331.49450426,5
NCC07,1460.80463655,2
NCD19,2355.65914128,5
FDL46,2027.32613905,9
FDM20,3634.10364765,7
NCI06,1273.52347894,0
DRM11,3835.7816196,6
NCH07,2951.73855224,3
FDS23,1605.40689168,1
FDO49,1419.64898659,3
FDS35,1136.42665276,9
DRK39,1107.59441356,7
DRI39,1080.50393772,9
FDV04,2140.19981405,2
NCN14,2534.06059275,6
FDH08,3380.31668891,1
FDS20,2918.23180057,8
FDV40,1440.27108487,9
FDZ48,127.074069234,0
FDS24,2869.5892253,5
FDK44,2806.06103147,9
FDS48,2156.88937491,7
FDK26,1491.79920008,0
FDD23,2758.66058241,7
NCH54,2248.4542407,2
NCP14,-46.8837645433,0
FDM60,-849.657677626,0
FDV24,2069.56458314,2
FDH08,4190.71962686,3
FDS12,3270.15274944,5
FDR39,4220.24950016,5
FDP12,2109.25890341,5
DRF60,5179.94665227,5
FDC09,1469.4090154,6
FDF50,3562.48694656,3
FDG28,3637.5410307,6
NCE19,566.806081009,2
NCM53,132.326855372,0
NCN18,1803.43787635,9
FDF32,2851.9669927,6
FDF11,3546.6047521,1
DRI59,3771.77366489,9
NCG54,2358.19772563,6
FDM44,1680.92522241,8
FDT57,4288.52223561,3
FDV24,2352.59729296,8
FDI50,2706.45372807,4
FDS09,572.148902214,6
NCC31,3916.58456789,5
FDQ07,2399.29458915,4
FDC22,2679.37802115,2
FDZ56,2745.62988053,8
FDZ40,-83.9411127928,4
FDS46,3358.25400462,5
DRD24,2024.98685834,7
FDV45,2728.60464007,2
FDL26,2167.54326956,7
FDA56,2555.84109524,3
FDN27,1917.03139012,8
FDM20,4047.64279288,9
FDO16,1140.07188941,2
FDL03,2907.01874479,6
FDE58,1875.92174099,8
FDI02,3168.57284549,5
NCC55,-404.225665457,4
FDR03,3886.10242645,3
FDB14,1192.39910062,2
FDR45,3502.47624845,1
NCN07,1815.30081345,2
FDM51,751.803543035,4
FDT52,5346.33345968,5
FDL26,2436.81308493,8
NCZ42,3841.32757499,8
DRI47,1429.89243976,4
FDW40,1884.32900867,1
FDN34,2744.47361166,8
FDS01,2617.80478885,6
NCG55,1587.45937632,7
FDC11,975.614645776,6
FDX35,4110.92603824,3
NCB06,2498.38759675,8
FDR09,3000.39166499,4
FDC53,1367.98188647,2
FDY45,3721.1269067,1
FDA22,993.315967584,0
FDE02,1156.68226596,6
FDW21,1466.82017731,7
FDV34,1322.25437316,8
FDS59,1976.93059326,9
NCW17,1810.52600422,2
NCK54,1914.10010332,8
FDG17,2946.2413686,4
FDG35,2584.13706917,2
FDD08,-896.760992786,0
NCO07,3125.61148988,2
FDJ10,517.224260943,0
FDW36,1405.46289395,2
FDW21,217.642250831,0
FDY19,1634.36391145,2
DRE03,533.413071806,1
NCC55,767.643664934,9
FDH52,-466.976865063,0
FDO09,3827.40739049,2
FDU43,3541.57840202,7
FDX09,1148.95981195,0
FDH40,309.60022838,4
FDW58,1467.56976303,2
FDC47,3202.76066864,2
NCR41,1285.97000012,6
DRG49,3595.68727406,6
FDC52,3966.66864348,5
FDY13,1268.84085111,8
FDY35,518.834658465,1
FDI35,2618.7231991,2
NCU18,2386.42181033,9
FDY33,3001.5545333,3
FDC15,3717.70177205,5
FDU01,3224.8456483,9
NCU42,2748.0333816,8
NCV29,3367.5484819,3
NCY30,2653.707478,2
FDQ46,1863.28226799,9
